census_id,country,year,census_label,geolev2,wh_ratio,single_1519,single_2024,single_2529,single_3034,single_3539,single_4044,single_4549,avg_educ,log_popdens,sex_ratio
834_2002,834,2002,Tanzania 2002,834005004,1.04879395383737,0.964616648177504,0.678687107310357,0.334066826151794,0.207447712973984,0.138276557737326,0.113346808075761,0.10742224766266,4.36567569055012,2.08442907845207,0.862318210929134
834_2002,834,2002,Tanzania 2002,834005005,1.03849973729943,0.977887685661446,0.823360479993864,0.521598007667527,0.313671982841003,0.199101381779387,0.0979427219669207,0.0551168817431775,6.34924045051364,6.63459389676773,0.978448020175495
834_2002,834,2002,Tanzania 2002,834009001,1.15027225013332,0.958478141576733,0.614886955318376,0.261780312658871,0.130557373608499,0.0702649277469781,0.0811103031230864,0.0422025509570524,2.73879501927979,4.00514900287827,0.812731017539323
834_2002,834,2002,Tanzania 2002,834009002,1.19615262167543,0.965140410904713,0.56777359718204,0.265246392358468,0.148114162241728,0.131460952446024,0.095851569591358,0.0774928774928775,3.5117315266386,4.56622143902065,0.766172604479413
834_2002,834,2002,Tanzania 2002,834009003,1.09412935487905,0.958606235133085,0.530965011549895,0.222277132805065,0.182706515289533,0.148801121262041,0.0998970789039017,0.0741126586730191,4.35775847036707,3.77940550173133,0.850337987326977
834_2002,834,2002,Tanzania 2002,834009004,1.0480769630353,0.970113308855462,0.769877207468769,0.405596579867859,0.245725819217983,0.151772197524931,0.129686336174791,0.0513271740724446,4.96573310045218,6.32563059432104,0.931226432179656
834_2002,834,2002,Tanzania 2002,834019010,1.11179977195287,0.952259114961912,0.608995752184019,0.300948271362205,0.147831843488129,0.0876351076117829,0.0864563506353207,0.0603176456849235,4.85664293949744,5.9973720511943,0.854121011357011
834_2002,834,2002,Tanzania 2002,834019014,1.14892477525088,0.970765841864658,0.68232308666709,0.312589061617289,0.168858472339845,0.0924678872158386,0.0566746103274963,0.0413348528277561,3.74878436903096,4.97182511680559,0.842328804190773
834_2002,834,2002,Tanzania 2002,834019011,1.02615730692705,0.97022025585712,0.783776445227802,0.418094175105782,0.205728537769832,0.110083935346396,0.0772752557431246,0.058842375053396,6.4132159680595,6.97646010441448,1.01047928880614
834_2002,834,2002,Tanzania 2002,834019012,1.1060684814144,0.957307623224009,0.668453467153285,0.312480148512256,0.127986623151618,0.0796825356853561,0.0570675907783593,0.0596382547976094,3.5435336940002,4.5792368290129,0.893307028061231
834_2002,834,2002,Tanzania 2002,834019013,1.05539132393718,0.946473465443088,0.621036309349623,0.28526654950205,0.152979206312651,0.0985086356778238,0.0778708299072874,0.0634467435831001,4.0989357953562,5.00803191230341,0.943015731537726
834_2002,834,2002,Tanzania 2002,834019018,1.02368845831201,0.947500762770666,0.541396575394178,0.249203688212486,0.127571017141631,0.0658016268001658,0.0708319165524022,0.0443727214642763,3.84587442541343,4.71733750744094,0.979746980675828
834_2002,834,2002,Tanzania 2002,834006001,1.04870799939471,0.956788208742901,0.69417257459572,0.379060244764897,0.227935351277704,0.148481581410113,0.128011346233237,0.0881561618822161,3.92304222406136,3.29175444759576,0.940088355381491
834_2002,834,2002,Tanzania 2002,834006002,1.03101749588193,0.971160803996019,0.783278301359785,0.460203427372348,0.273502916602408,0.176350398907183,0.104931221467878,0.0886113332364059,4.76921374832708,4.05698876247764,0.952154295426746
834_2002,834,2002,Tanzania 2002,834006003,1.06661390606281,0.967993535414278,0.719964592579078,0.400323792055823,0.232034416520681,0.160927947010642,0.101875625008087,0.0672846588717425,2.96813393186128,3.57318800959248,0.904809920311116
834_2002,834,2002,Tanzania 2002,834006004,1.14401055543541,0.96194796494051,0.726890568114199,0.368639781095742,0.182177876214538,0.109624625020051,0.0879717670062654,0.0345801989157024,2.90789549616059,2.70001803706624,0.821629466654097
834_2002,834,2002,Tanzania 2002,834006005,1.04298186279908,0.973487609329446,0.7875,0.444458143262237,0.206901128069011,0.144150943396226,0.084863523573201,0.0521767487363444,3.96095693612796,4.4199243136042,0.994369470738341
834_2002,834,2002,Tanzania 2002,834015004,1.07362000352128,0.943190718365898,0.567103111810874,0.259750427026001,0.138024095497753,0.0685243260219478,0.0507164866497646,0.0540498209245098,3.4749851724695,2.14241639457362,0.931316408060514
834_2002,834,2002,Tanzania 2002,834015001,1.05511851168463,0.939345824071134,0.356835475143727,0.102885838938375,0.0435707984481634,0.0619633781119237,0.0302027901625198,0.0180460405393247,3.52211918275431,3.52282490130688,0.902180068969632
834_2002,834,2002,Tanzania 2002,834015002,1.00673711101493,0.950167723675245,0.476439129363778,0.169155539283537,0.0631918927508505,0.04024505334549,0.0318195803496998,0.035323844507898,3.72271766037362,3.04879900174531,0.952044497270849
834_2002,834,2002,Tanzania 2002,834015003,1.09797056729172,0.971043273694795,0.603849874442611,0.229936585155678,0.0943172450068531,0.0522982726358533,0.027839635012143,0.0211555463699723,5.22943277614261,4.65890047656675,0.863576213999182
834_2002,834,2002,Tanzania 2002,834010001,1.15116053299926,0.962972126086073,0.580894597659385,0.270033146109329,0.153473843945663,0.109799758707676,0.0749923594132029,0.112271329849689,3.91971493481809,2.57108434021866,0.8781577423595
834_2002,834,2002,Tanzania 2002,834010002,1.12611025192804,0.979823045217043,0.678855841121682,0.34724574160773,0.208742510421315,0.143583865769292,0.0924227716723179,0.0654112159096724,4.82069594477396,2.20386916636835,0.898143567631067
834_2002,834,2002,Tanzania 2002,834010003,1.06510835011881,0.950586821013896,0.485661529140365,0.192693977475389,0.120913821033013,0.0630112391058178,0.0680091129761377,0.0483450687705039,5.29330343819416,3.9243467340186,0.904456433520852
834_2002,834,2002,Tanzania 2002,834010004,1.06857524690341,0.978948365447066,0.78888708355948,0.363794465819382,0.182702430134732,0.109202771607279,0.0504941063546658,0.0505792097293093,6.37216929247548,5.36433913353867,0.875938336112564
834_2002,834,2002,Tanzania 2002,834019015,1.24974264956342,0.955563248396799,0.570118713985011,0.219877026208999,0.0817508284891617,0.0532189409333622,0.0369535223007471,0.0398719735848175,3.01402592177349,4.07192849172932,0.793838099796013
834_2002,834,2002,Tanzania 2002,834019017,1.15940692459718,0.949713325149266,0.562196783468366,0.230535287995984,0.090455823047782,0.0603110607230409,0.0299647967199617,0.0431879659225555,3.43175661343177,4.41534050262898,0.847855633447709
834_2002,834,2002,Tanzania 2002,834019002,1.11797138366309,0.96162844912876,0.613787551819347,0.265083741245332,0.124231040346049,0.0536298926253668,0.0586281189968266,0.0726062333689393,3.38934542841289,4.19026063292231,0.915255824388311
834_2002,834,2002,Tanzania 2002,834019003,1.07165254629082,0.928397271801174,0.519262955491348,0.226603859930993,0.0906616337843904,0.0763066244459887,0.0433758235327133,0.0443017410900656,3.32514723824523,3.97255348506276,0.931587134160137
834_2002,834,2002,Tanzania 2002,834019016,1.21498847581681,0.946133482647539,0.539685059827086,0.220149283434209,0.0729115263649173,0.0350926754241411,0.0410736833094357,0.035469662753588,3.10115226885738,3.30321700135342,0.834079444610501
834_2002,834,2002,Tanzania 2002,834019001,1.0946171704593,0.959222625556319,0.788573203541064,0.417857735428666,0.207059371168896,0.120474296869351,0.0348098652610138,0.0423245570914525,5.0957511948335,5.46620186522971,0.93062969630618
834_2002,834,2002,Tanzania 2002,834013001,1.12504737710322,0.981431360973616,0.723323438261007,0.310867815047173,0.122781362749805,0.0590692335443246,0.0692011073759146,0.0552219993494525,3.60928142929658,3.87722451885418,0.823148083483554
834_2002,834,2002,Tanzania 2002,834013002,1.14853530595715,0.977776125006198,0.743618602506935,0.280471798207354,0.10701156479203,0.0598011780893926,0.0450648889203513,0.0327389725846741,4.07119824178271,3.56558125502057,0.815530146776246
